episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
896,502,1,100,1,0
897,502,1,100,1,0
898,502,1,100,1,0
899,502,1,100,1,0
900,502,1,100,1,0
901,502,1,100,1,0
902,502,1,100,1,0
903,502,1,100,1,0
904,502,1,100,1,0
905,502,1,100,1,0
906,502,1,100,1,0
907,502,1,100,1,0
908,502,1,100,1,0
909,502,1,100,1,0
910,502,1,100,1,0
911,502,1,100,1,0
912,502,1,100,1,0
913,502,1,100,1,0
914,-100,0,100,0,0
915,502,1,100,1,0
916,502,1,100,1,0
917,502,1,100,1,0
918,502,1,100,1,0
919,454,1,49,1,0
920,502,1,100,1,0
921,502,1,100,1,0
922,502,1,100,1,0
923,502,1,100,1,0
924,502,1,100,1,0
925,502,1,100,1,0
926,502,1,100,1,0
927,502,1,100,1,0
928,502,1,100,1,0
929,502,1,100,1,0
930,1,0,100,1,0
931,1,0,100,1,0
932,1,0,100,1,0
933,1,0,100,1,0
934,502,1,100,1,0
935,502,1,100,1,0
936,502,1,100,1,0
937,502,1,100,1,0
938,502,1,100,1,0
939,502,1,100,1,0
940,502,1,100,1,0
941,1,0,100,1,0
942,1,0,100,1,0
943,-104,0,5,0,0
944,502,1,100,1,0
945,502,1,100,1,0
946,502,1,100,1,0
947,502,1,100,1,0
948,502,1,100,1,0
949,502,1,100,1,0
950,502,1,100,1,0
951,502,1,100,1,0
952,502,1,100,1,0
953,502,1,100,1,0
954,502,1,100,1,0
955,502,1,100,1,0
956,-34,0,36,1,0
957,502,1,100,1,0
958,502,1,100,1,0
959,502,1,100,1,0
960,-100,0,100,0,0
961,502,1,100,1,0
962,502,1,100,1,0
963,502,1,100,1,0
964,502,1,100,1,0
965,502,1,100,1,0
966,502,1,100,1,0
967,502,1,100,1,0
968,502,1,100,1,0
969,502,1,100,1,0
970,502,1,100,1,0
971,502,1,100,1,0
972,-100,0,100,0,0
973,502,1,100,1,0
974,502,1,100,1,0
975,502,1,100,1,0
976,502,1,100,1,0
977,502,1,100,1,0
978,405,1,98,1,0
979,502,1,100,1,0
980,-100,0,100,0,0
981,502,1,100,1,0
982,502,1,100,1,0
983,502,1,100,1,0
984,502,1,100,1,0
985,502,1,100,1,0
986,502,1,100,1,0
987,502,1,100,1,0
988,502,1,100,1,0
989,502,1,100,1,0
990,502,1,100,1,0
991,502,1,100,1,0
992,474,1,29,1,0
993,414,1,89,1,0
994,502,1,100,1,0
995,502,1,100,1,0
996,502,1,100,1,0
997,502,1,100,1,0
998,502,1,100,1,0
999,502,1,100,1,0
1000,502,1,100,1,0
1001,502,1,100,1,0
1002,502,1,100,1,0
1003,502,1,100,1,0
1004,502,1,100,1,0
1005,502,1,100,1,0
1006,502,1,100,1,0
1007,502,1,100,1,0
1008,502,1,100,1,0
1009,502,1,100,1,0
1010,502,1,100,1,0
1011,502,1,100,1,0
1012,502,1,100,1,0
1013,502,1,100,1,0
1014,502,1,100,1,0
1015,502,1,100,1,0
1016,502,1,100,1,0
1017,502,1,100,1,0
1018,502,1,100,1,0
1019,1,0,100,1,0
1020,502,1,100,1,0
1021,1,0,100,1,0
1022,502,1,100,1,0
1023,502,1,100,1,0
1024,502,1,100,1,0
1025,502,1,100,1,0
1026,502,1,100,1,0
1027,502,1,100,1,0
1028,502,1,100,1,0
1029,502,1,100,1,0
1030,502,1,100,1,0
1031,502,1,100,1,0
1032,502,1,100,1,0
1033,502,1,100,1,0
1034,502,1,100,1,0
1035,502,1,100,1,0
1036,502,1,100,1,0
1037,502,1,100,1,0
1038,-100,0,100,0,0
1039,-172,0,73,0,0
1040,502,1,100,1,0
1041,502,1,100,1,0
1042,502,1,100,1,0
1043,502,1,100,1,0
1044,502,1,100,1,0
1045,502,1,100,1,0
1046,401,1,100,0,0
1047,502,1,100,1,0
1048,502,1,100,1,0
1049,-100,0,100,0,0
1050,502,1,100,1,0
1051,438,1,65,1,0
1052,502,1,100,1,0
1053,502,1,100,1,0
1054,502,1,100,1,0
1055,502,1,100,1,0
1056,502,1,100,1,0
1057,502,1,100,1,0
1058,502,1,100,1,0
1059,502,1,100,1,0
1060,502,1,100,1,0
1061,502,1,100,1,0
1062,502,1,100,1,0
1063,502,1,100,1,0
1064,386,1,16,0,0
1065,401,1,100,0,0
1066,502,1,100,1,0
1067,401,1,100,0,0
1068,401,1,100,0,0
1069,401,1,100,0,0
1070,340,1,62,0,0
1071,502,1,100,1,0
1072,401,1,100,0,0
1073,401,1,100,0,0
1074,401,1,100,0,0
1075,401,1,100,0,0
1076,401,1,100,0,0
1077,401,1,100,0,0
1078,372,1,30,0,0
1079,401,1,100,0,0
1080,401,1,100,0,0
1081,401,1,100,0,0
1082,401,1,100,0,0
1083,401,1,100,0,0
1084,401,1,100,0,0
1085,401,1,100,0,0
1086,401,1,100,0,0
1087,401,1,100,0,0
1088,401,1,100,0,0
1089,401,1,100,0,0
1090,401,1,100,0,0
1091,401,1,100,0,0
1092,313,1,89,0,0
1093,401,1,100,0,0
1094,401,1,100,0,0
1095,401,1,100,0,0
1096,401,1,100,0,0
1097,401,1,100,0,0
1098,401,1,100,0,0
1099,401,1,100,0,0
1100,401,1,100,0,0
1101,401,1,100,0,0
1102,401,1,100,0,0
1103,401,1,100,0,0
1104,401,1,100,0,0
1105,-100,0,100,0,0
1106,502,1,100,1,0
1107,502,1,100,1,0
1108,502,1,100,1,0
1109,502,1,100,1,0
1110,502,1,100,1,0
1111,502,1,100,1,0
1112,1,0,100,1,0
1113,1,0,100,1,0
1114,502,1,100,1,0
1115,502,1,100,1,0
1116,502,1,100,1,0
1117,502,1,100,1,0
